       (ii),Modified,X_i,       (ii),,Y_i,,X_i - Y_i,(X_i - Y_i)^2,|X_i-Y_i|
15/07/25,15-07-2025,196,25/06/2025,25-06-2025,175,,21,441,21
(1-7)/05/25,04-05-2025,124,26/06/2025,26-06-2025,176,,-52,2704,52
(1-7)/06/25,04-06-2025,155,24/06/2025,24-06-2025,174,,-19,361,19
(16-22)/06/25,19-05-2025,139,24/06/2025,24-06-2025,174,,-35,1225,35
 10/07/25,10-07-2025,191,26/06/2025,26-06-2025,176,,15,225,15
 17/06/25,17-06-2025,168,24/06/2025,24-06-2025,174,,-6,36,6
 16/06/25,16-06-2025,167,24/06/2025,24-06-2025,174,,-7,49,7
 12/07/25,12-07-2025,193,28/06/2025,28-06-2025,178,,15,225,15
 15/06/25,15-06-2025,166,15/06/2025,15-06-2025,165,,1,1,1
 (27-30)/06/25,29-06-2025,180,21/06/2025,21-06-2025,171,,9,81,9
 9/06/25,09-06-2025,160,25/06/2025,25-06-2025,175,,-15,225,15
(25-26)/06/25,25-06-2025,176,26/06/2025,26-06-2025,176,,0,0,0
 9/06/25,09-06-2025,160,27/06/2025,27-06-2025,177,,-17,289,17
 20/06/25,20-06-2025,171,26/06/2025,26-06-2025,176,,-5,25,5
(1-2)/07/25,01-07-2025,182,25/06/2025,25-06-2025,175,,7,49,7
(16-22)/06/25,19-06-2025,170,24/06/2025,24-06-2025,174,,-4,16,4
 (12-14)/06/25,13-06-2025,164,26/06/2025,26-06-2025,176,,-12,144,12
(1-7)/06/25,04-06-2025,155,26/06/2025,26-06-2025,176,,-21,441,21
 8/07/25,08-07-2025,189,24/06/2025,24-06-2025,174,,15,225,15
(16-18)/06/25,17-06-2025,168,23/06/2025,23-06-2025,173,,-5,25,5
,,,,,,,-115,6787,281
,,,,,,,,,
,,,,,Mean deviation = -115/20 = -5.75,,,,
,,,,,Mean Square deviation =  18.421,,,,
,,,,,Mean Absolute deviation= 14.05,,,,
