       (v),TECH/NATURAL Coding,       (ii),Date (Modified),,,,,,,
0,0,15/07/25,15-07-2025,196,,,,,,
By feeling Monsoon Winds,0,(1-7)/05/25,04-05-2025,124,,,,,,
"Low Pressure, Monsoon Winds",0,(1-7)/06/25,04-06-2025,155,,,,,,
0,0,(16-22)/06/25,19-05-2025,139,,,,,,
0,0, 10/07/25,10-07-2025,191,,,,,,
0,0, 17/06/25,17-06-2025,168,,,,,,
0,0, 16/06/25,16-06-2025,167,,,,,,
0,0, 1/06/25,01-06-2025,152,,,,,,
0,0, 20/06/25,20-06-2025,171,,,,Variance(N)=381.69,,
0,0,(15-16)/07/25,15-07-2025,196,,,,Sd(N)=19.536,,
0,0,Ashar,01-07-2025,182,,,,,,
0,0,srabon,02-08-2025,214,,,,Variance(T)=220.269,,
Monsoon winds,0, 12/07/25,12-07-2025,193,,,,Sd(T)=14.84,,
0,0, 15/06/25,15-06-2025,166,,,,,,
0,0, (12-13)/07/25,13-07-2025,194,,,,F=1.732,,"F(26,13)=2.21"
"Radio,news",1,16/06/25,16-06-2025,167,,,,"df = 26,13",,As F<2.21 We do not have enough evidence to reject null hypothesis
0,0, (23-24)/06/25,24-06-2025,175,,,,,,
News,1,(10-15)/05/25,12-05-2025,132,,,,,,
"Pattern of cloud,low pressure",0, (27-30)/06/25,29-06-2025,180,,,,,,
0,0,(14-16)/06/25,15-06-2025,166,,,,,,
"News,internet",1, 9/06/25,09-06-2025,160,,,,,,
News,1, 5/07/25,05-07-2025,186,,,,,,
0,0,(16-17)/07/25,16-07-2025,197,,,,,,
0,0,(25-26)/06/25,25-06-2025,176,,,,,,
"ant eggs,babui birds nest",0, (1-2)/07/25,01-07-2025,182,,,,,,
News,1, 9/06/25,09-06-2025,160,,,,,,
"wind direction,news",1, 20/06/25,20-06-2025,171,,,,,,
cloud pattern,0,(1-2)/07/25,01-07-2025,182,,,,,,
"Radio,news",1, (20-25)/06/25,22-06-2025,173,,,,,,
"cloud pattern, newspaper,internet",1,20/06/25,20-06-2025,171,,,,,,
cloud pattern,0,(16-22)/06/25,19-06-2025,170,,,,,,
Wind direction,0, (12-14)/06/25,13-06-2025,164,,,,,,
mobile phone,1,20/06/25,20-06-2025,171,,,,,,
0,0,(1-7)/06/25,04-06-2025,155,,,,,,
0,0,(1-2)/07/25,02-07-2025,183,,,,,,
0,0, 8/07/25,08-07-2025,189,,,,,,
internet,1,(16-18)/06/25,17-06-2025,168,,,,,,
internet and news,1,(16-17)/07/25,16-07-2025,197,,,,,,
"mobile,paper,others opinion",1,(1-3)/06/25,02-06-2025,153,,,,,,
internet and news,1,(16-18)/06/25,17-06-2025,168,,,,,,
mobile phone,1,(16-18)/06/25,17-06-2025,168,,,,,,
,14,,,,,,,,,
